term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
DataSet-IPRDeclaration,IPRDeclaration,IPR declaration for the dataset that is used when the IPR declaration cannot be parsed into the specific items or for forms of IPR declaration not yet covered (e.g. database rights).,,,Class,DataSet-Legal,True,True,/DataSets/DataSet/Metadata/IPRStatements/IPRDeclarations/IPRDeclaration,,DataSet-IPRDeclarations,2005-09-09,2005-09-09,
DataSet-IPRDeclaration-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/IPRDeclarations/IPRDeclaration/@language,,DataSet-IPRDeclaration,2005-09-09,2005-09-09,
DataSet-IPRDeclaration-Text,Text,"A concise representation of an IPR statement related to the dataset. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/IPRDeclarations/IPRDeclaration/Text,,DataSet-IPRDeclaration,2005-09-09,2005-09-09,
DataSet-IPRDeclaration-Details,Details,"Details related to the IPR declaration for the dataset. This is optional text of unconstrained length, elaborating details of the IPR declaration text.",,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/IPRDeclarations/IPRDeclaration/Details,,DataSet-IPRDeclaration,2005-09-09,2005-09-09,
DataSet-IPRDeclaration-URI,URI,An optional resource on the net providing details related to the IPR declaration for the database. This element may be used as an alternative to the long text.,,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/IPRDeclarations/IPRDeclaration/URI,,DataSet-IPRDeclaration,2005-09-09,2005-09-09,
DataSet-Copyrights,Copyrights,"A container element for several copyright statements for the dataset, normally representing different language representations of the same content.",,,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Copyrights,,DataSet-IPRStatements,2005-09-09,2005-09-09,
DataSet-Copyright,Copyright,A copyright statement for the dataset. The copyright may include the information that the data has been released to the public domain.,,,Class,DataSet-Legal,True,True,/DataSets/DataSet/Metadata/IPRStatements/Copyrights/Copyright,,DataSet-Copyrights,2005-09-09,2005-09-09,
DataSet-Copyright-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Copyrights/Copyright/@language,,DataSet-Copyright,2005-09-09,2005-09-09,
DataSet-Copyright-Text,Text,"A concise representation of a copyright statement for the dataset. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Copyrights/Copyright/Text,,DataSet-Copyright,2005-09-09,2005-09-09,
DataSet-Copyright-Details,Details,"Details related to the copyright declaration for the dataset. This is optional text of unconstrained length, elaborating details of the copyright declaration Text.",,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Copyrights/Copyright/Details,,DataSet-Copyright,2005-09-09,2005-09-09,
DataSet-Copyright-URI,URI,An optional resource on the net providing details related to the copyright declaration for the database. This element may be used as an alternative to the long text.,,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Copyrights/Copyright/URI,,DataSet-Copyright,2005-09-09,2005-09-09,
DataSet-Licenses,Licenses,"A container element for several license statements for the dataset, normally representing different language representations of the same content.",,,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Licenses,,DataSet-IPRStatements,2005-09-09,2005-09-09,
DataSet-License,License,A license statement for the dataset. This element is to be used if data are placed under a public license. Placing data under a public license while maintaining copyright is recommended!,,GPL; GFDL; Open-Document,Class,DataSet-Legal,True,True,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License,,DataSet-Licenses,2005-09-09,2005-09-09,
DataSet-License-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/@language,,DataSet-License,2005-09-09,2005-09-09,
DataSet-License-Text,Text,"A concise representation of a license statement related to the dataset. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text,,DataSet-License,2005-09-09,2005-09-09,
DataSet-License-Details,Details,"Details related to the license declaration for the dataset. This is optional text of unconstrained length, elaborating details of the license declaration Text.",,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Details,,DataSet-License,2005-09-09,2005-09-09,
DataSet-License-URI,URI,An optional resource on the net providing details related to the license declaration for the database. This element may be used as an alternative to the long text.,,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI,,DataSet-License,2005-09-09,2005-09-09,
DataSet-TermsOfUseStatements,TermsOfUseStatements,"A container element for several terms of use statements for the dataset, normally representing different language representations of the same content.",,,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements,,DataSet-IPRStatements,2005-09-09,2005-09-09,
DataSet-TermsOfUseStatement,TermsOfUseStatement,"A terms of use statement for the dataset. This statement defines conditions under which the data may be analised, distributed or changed.",,Usage conditions; Specific Restrictions,Class,DataSet-Legal,True,True,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUseStatement,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse,DataSet-TermsOfUseStatements,2005-09-09,2012-11-26,
DataSet-TermsOfUseStatement-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/@language,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse/@language,DataSet-TermsOfUseStatement,2005-09-09,2012-11-26,
DataSet-TermsOfUseStatement-Text,Text,"A concise representation of the terms of use for the dataset. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/Text,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse/Text,DataSet-TermsOfUseStatement,2005-09-09,2012-11-26,
DataSet-TermsOfUseStatement-Details,Details,"Details related to the terms of use declaration for the dataset. This is optional text of unconstrained length, elaborating details of the terms of use declaration Text.",,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/Details,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse/Details,DataSet-TermsOfUseStatement,2005-09-09,2012-11-26,
DataSet-TermsOfUseStatement-URI,URI,An optional resource on the net providing details related to the terms-of-use declaration for the database. This element may be used as an alternative to the long text.,,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUseStatement/URI,/DataSets/DataSet/Metadata/IPRStatements/TermsOfUseStatements/TermsOfUse/URI,DataSet-TermsOfUseStatement,2005-09-09,2012-11-26,
DataSet-Disclaimers,Disclaimers,"A container element for several disclaimer statements for the dataset, normally representing different language representations of the same content.",,,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Disclaimers,,DataSet-IPRStatements,2005-09-09,2005-09-09,
DataSet-Disclaimer,Disclaimer,A disclaimer statement for the dataset.,,statement concerning responsibility for data quality or legal implications,Class,DataSet-Legal,True,True,/DataSets/DataSet/Metadata/IPRStatements/Disclaimers/Disclaimer,,DataSet-Disclaimers,2005-09-09,2005-09-09,
DataSet-Disclaimer-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Disclaimers/Disclaimer/@language,,DataSet-Disclaimer,2005-09-09,2005-09-09,
DataSet-Disclaimer-Text,Text,"A concise representation of the disclaimer for the dataset. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Disclaimers/Disclaimer/Text,,DataSet-Disclaimer,2005-09-09,2005-09-09,
DataSet-Disclaimer-Details,Details,"Details related to the disclaimer for the dataset. This is optional text of unconstrained length, elaborating details of the disclaimer statement text.",,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Disclaimers/Disclaimer/Details,,DataSet-Disclaimer,2005-09-09,2005-09-09,
DataSet-Disclaimer-URI,URI,An optional resource on the net providing details related to the disclaimer statement for the database. This element may be used as an alternative to the long text.,,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Disclaimers/Disclaimer/URI,,DataSet-Disclaimer,2005-09-09,2005-09-09,
DataSet-Acknowledgements,Acknowledgements,"A container element for several acknowledgements for the dataset, normally representing different language representations of the same content.",,,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Acknowledgements,,DataSet-IPRStatements,2005-09-09,2005-09-09,
DataSet-Acknowledgement,Acknowledgement,A free form text acknowledging support for the dataset.,,grant money; help; permission to reuse published material; etc.,Class,DataSet-Legal,True,True,/DataSets/DataSet/Metadata/IPRStatements/Acknowledgements/Acknowledgement,,DataSet-Acknowledgements,2005-09-09,2005-09-09,
DataSet-Acknowledgement-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Acknowledgements/Acknowledgement/@language,,DataSet-Acknowledgement,2005-09-09,2005-09-09,
DataSet-Acknowledgement-Text,Text,"A concise representation of the acknowledgement for the dataset. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,DataSet-Legal,True,False,/DataSets/DataSet/Metadata/IPRStatements/Acknowledgements/Acknowledgement/Text,,DataSet-Acknowledgement,2005-09-09,2005-09-09,
DataSet-Acknowledgement-Details,Details,"Details related to acknowledgements for the dataset. This is optional text of unconstrained length, elaborating details of the acknowledgements Text.",,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Acknowledgements/Acknowledgement/Details,,DataSet-Acknowledgement,2005-09-09,2005-09-09,
DataSet-Acknowledgement-URI,URI,An optional resource on the net providing details related to the acknowledgement for the database. This element may be used as an alternative to the long text.,,,Property,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Acknowledgements/Acknowledgement/URI,,DataSet-Acknowledgement,2005-09-09,2005-09-09,
DataSet-Citations,Citations,"A container element for several citations for the dataset, normally representing different language representations of the same content.",,,Class,DataSet-Legal,False,False,/DataSets/DataSet/Metadata/IPRStatements/Citations,,DataSet-IPRStatements,2005-09-09,2005-09-09,
